"","Stock","Mean","Median","ADF p-value"
"1","ACC",4.41764705882353,5,0.393904274353092
"1","ADANIENT",4.50239234449761,5,0.99
"1","ADANIGREEN",4.54887218045113,5,0.181047839309378
"1","ADANIPORTS",4.39086294416244,5,0.566487345983803
"1","AMBUJACEM",4.40760869565217,5,0.940558991550495
"1","APOLLOHOSP",4.44102564102564,5,0.74610591374264
"1","ASIANPAINT",4.5,5,0.41370576380261
"1","AUROPHARMA",4.40350877192982,5,0.254624512377921
"1","AXISBANK",4.46969696969697,5,0.175938318394662
"1","BAJAJ-AUTO",4.44,5,0.0407648671878807
"1","BAJAJFINSV",4.52654867256637,5,0.383346046197783
"1","BAJAJHLDNG",4.45922746781116,5,0.586022450158156
"1","BAJFINANCE",4.54065040650407,5,0.0939066229904196
"1","BANDHANBNK",4.32631578947368,5,0.122176191137428
"1","BANKBARODA",4.41463414634146,5,0.544932478475979
"1","BERGEPAINT",4.47142857142857,5,0.685999078721557
"1","BHARTIARTL",4.43229166666667,5,0.583218311402635
"1","BIOCON",4.37037037037037,5,0.951440872355727
"1","BOSCHLTD",4.48648648648649,5,0.155352525806498
"1","BPCL",4.37640449438202,5,0.289350460625791
"1","BRITANNIA",4.49748743718593,5,0.123670811335945
"1","CHOLAFIN",4.41071428571429,5,0.656751816638524
"1","CIPLA",4.41081081081081,5,0.852755319258021
"1","COALINDIA",4.40789473684211,5,0.74584996898194
"1","COLPAL",4.29473684210526,5,0.0277586780541437
"1","DABUR",4.41206030150754,5,0.0276514575778717
"1","DIVISLAB",4.40366972477064,5,0.778929531776803
"1","DLF",4.40526315789474,5,0.266912599789552
"1","DMART",4.46625766871166,5,0.550200150744167
"1","DRREDDY",4.4021164021164,5,0.583327560110055
"1","EICHERMOT",4.46632124352332,5,0.765170736239645
"1","GAIL",4.31746031746032,5,0.643833466875105
"1","GLAND",4.4375,5,0.941841874608897
"1","GODREJCP",4.45971563981043,5,0.225523664896501
"1","GRASIM",4.42929292929293,5,0.796593534777646
"1","HAVELLS",4.34597156398104,5,0.34984917729932
"1","HCLTECH",4.28426395939086,5,0.443953024692091
"1","HDFCAMC",4.43529411764706,5,0.743217121716265
"1","HDFCBANK",4.54794520547945,5,0.158502091081952
"1","HDFC",4.43298969072165,5,0.102608147139343
"1","HDFCLIFE",4.34710743801653,5,0.626940385344839
"1","HEROMOTOCO",4.46590909090909,5,0.46040166442525
"1","HINDALCO",4.38775510204082,5,0.519673975972997
"1","HINDPETRO",4.41420118343195,5,0.564543559933752
"1","HINDUNILVR",4.45283018867925,5,0.0238154509431786
"1","ICICIBANK",4.42990654205607,5,0.537673659406073
"1","ICICIGI",4.4016393442623,5,0.733741971905501
"1","ICICIPRULI",4.35714285714286,5,0.23475557156347
"1","IGL",4.39269406392694,5,0.594352466140434
"1","INDIGO",4.4367816091954,5,0.0839636443224088
"1","INDUSINDBK",4.46009389671362,5,0.628899955767013
"1","INDUSTOWER",4.29545454545455,5,0.0374647517548433
"1","INFY",4.48095238095238,5,0.621329699044874
"1","IOC",4.32716049382716,5,0.596657956874491
"1","ITC",4.37853107344633,5,0.917144488036369
"1","JINDALSTEL",4.36170212765957,5,0.136143211479768
"1","JSWSTEEL",4.45454545454545,5,0.493672576501523
"1","JUBLFOOD",4.51196172248804,5,0.484888332750054
"1","KOTAKBANK",4.46009389671362,5,0.0278683444531779
"1","LICI",NA,NA,0.338038354662868
"1","LT",4.47849462365591,5,0.438934201533206
"1","LTI",4.53030303030303,5,0.620374659349328
"1","LUPIN",4.21374045801527,5,0.562756889764518
"1","MARICO",4.43636363636364,5,0.415802342920031
"1","MARUTI",4.50471698113208,5,0.586095051162209
"1","MCDOWELL-N",4.38815789473684,5,0.35991926187591
"1","MM",4.45360824742268,5,0.953573394527311
"1","MUTHOOTFIN",4.445,5,0.699998828610801
"1","NAUKRI",4.45283018867925,5,0.600939003768103
"1","NESTLEIND",4.5,5,0.1491226908464
"1","NMDC",4.40606060606061,5,0.138653347106805
"1","NTPC",4.39759036144578,5,0.601268639988647
"1","ONGC",4.32704402515723,5,0.486841597706309
"1","PEL",4.35326086956522,5,0.812369440808525
"1","PGHH",4.44444444444444,5,0.0747939261261387
"1","PIDILITIND",4.39461883408072,5,0.356097663404673
"1","PIIND",4.43414634146342,5,0.576324050716377
"1","PNB",4.41481481481481,5,0.287602037843181
"1","POWERGRID",4.37037037037037,5,0.639172859413955
"1","RELIANCE",4.35779816513761,5,0.0437538161631228
"1","SAIL",4.34545454545455,5,0.503816225233097
"1","SBICARD",4.46031746031746,5,0.7095208691612
"1","SBILIFE",4.41911764705882,5,0.197499761869172
"1","SBIN",4.48677248677249,5,0.536172091024431
"1","SHREECEM",4.47282608695652,5,0.116677926462595
"1","SIEMENS",4.38421052631579,5,0.950977299860187
"1","SUNPHARMA",4.36170212765957,5,0.945660273202942
"1","TATACONSUM",4.45497630331754,5,0.507470775551673
"1","TATAMOTORS",4.43125,5,0.691986928707777
"1","TATASTEEL",4.415,5,0.653401585050824
"1","TCS",4.42439024390244,5,0.377668962190219
"1","TECHM",4.48,5,0.422478668216377
"1","TITAN",4.4703196347032,5,0.599544342103218
"1","TORNTPHARM",4.41395348837209,5,0.343882069314636
"1","ULTRACEMCO",4.39613526570048,5,0.374344528818749
"1","UPL",4.4,5,0.0863476600228075
"1","VEDL",4.35051546391753,5,0.68640995418213
"1","WIPRO",4.34054054054054,5,0.658066591643062
"1","YESBANK",4.35570469798658,5,0.699953114917276
